title,symptom_keywords,symptom_keywords,recommendation,
Crushing Injury,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)",
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Antibiotics, Warm compresses, immobilization, rest, Pain management",
Anal Fissure,"Pain during bowel movements, rectal bleeding","Pain during bowel movements, rectal bleeding","Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)",
Neuropathic Pain,"Shooting or burning pain, tingling or numbness","Shooting or burning pain, tingling or numbness","Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques",
Common Cold,"cough, sore throat, runny nose, sneezing","cough, sore throat, runny nose, sneezing","rest, fluids, over-the-counter medication",
Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)",
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","Shortness of breath, dry cough, fatigue","Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation",
Hyperosmotic Hyperketotic State,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)",
Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications",
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Immediate medical attention, X-ray, CT scan, ultrasound, stabilization of vital signs, pain management, observation for signs of internal bleeding, potential surgical intervention, wound care",
Hirsutism,Excessive hair growth in women,Excessive hair growth in women,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes",
Neuralgia,"Sharp, shooting pain along the affected nerve","Sharp, shooting pain along the affected nerve","Medications (pain relievers, anticonvulsants), nerve blocks",
Warthin tumor,"Painless lump or swelling, Facial changes","Painless lump or swelling, Facial changes",Surgical excision,
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations",
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)","Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)","Medication-assisted treatment (such as methadone, buprenorphine, naltrexone), counseling or therapy (such as cognitive-behavioral therapy, contingency management), support groups (such as Narcotics Anonymous), harm reduction strategies, addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques",
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials",
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion","Slurred speech, impaired coordination, confusion","Supportive care, ensuring hydration, monitoring vital signs, prevention of complications",
Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence",
Gestational Diabetes,High blood sugar levels during pregnancy,High blood sugar levels during pregnancy,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider",
Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs",
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability","Growth deficiencies, facial abnormalities, developmental delays, intellectual disability","Early intervention services for developmental delays, educational support, speech and occupational therapy, behavioral interventions, medical management of associated health issues",
Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","Phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)",
Osteoarthritis,"Joint pain, stiffness, swelling","Joint pain, stiffness, swelling","Pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)",
Fracture of the Neck,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","Immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)",
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care",
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management",
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Lifestyle changes (such as a heart-healthy diet, regular exercise, weight management, smoking cessation), medication (such as aspirin, cholesterol-lowering medications, beta-blockers, calcium channel blockers, nitroglycerin), procedures (such as angioplasty and stenting, coronary artery bypass grafting), cardiac rehabilitation, management of other risk factors (such as high blood pressure, diabetes)",
Hypertensive Heart Disease,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue","High blood pressure, chest pain or discomfort, shortness of breath, fatigue","Medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions",
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Swollen salivary glands (usually parotid), fever, headache, fatigue","Supportive care, pain relievers, isolation, vaccination (MMR)",
Cholesteatoma,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","Surgical removal, antibiotics (for associated infections)",
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","Abdominal pain, high blood pressure, kidney cysts","Symptom management, blood pressure control, dialysis",
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Joint pain, swelling, stiffness, limited range of motion, fever, rash","Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices",
Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination","Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination","Surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family",
Parotid stones,"Swelling, pain, dry mouth, bad taste","Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",
Achalasia,Difficulty swallowing,Difficulty swallowing,"Balloon dilation, surgery, medication",
Rumination Disorder,Repeated regurgitation and re-chewing of food,Repeated regurgitation and re-chewing of food,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications",
Bronchitis,"Persistent cough with yellow or green mucus, chest congestion, fatigue","Persistent cough with yellow or green mucus, chest congestion, fatigue","Rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause",
Balanitis,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain","Inflammation of the glans penis (tip of the penis), redness, swelling, pain","Good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes",
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","Immediate medical attention, potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), close monitoring, emotional support",
Atelectasis,"Difficulty breathing, rapid breathing, chest pain","Difficulty breathing, rapid breathing, chest pain","Treatment of the underlying cause (such as removal of airway obstruction, treatment of lung infection), deep breathing exercises, coughing techniques, incentive spirometry, chest physiotherapy, bronchodilator medications, supplemental oxygen therapy",
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image","Extreme weight loss, fear of gaining weight, distorted body image","Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups",
Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","Treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)",
Pregnancy-Induced Hypertension,High blood pressure during pregnancy,High blood pressure during pregnancy,"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",
Chorioretinitis,"Eye pain, blurred vision, sensitivity to light","Eye pain, blurred vision, sensitivity to light","Antiviral medications, corticosteroids, eye drops",
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision","Gradual loss of peripheral vision, tunnel vision","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions.",
Corneal Abrasion,"Eye pain, redness, foreign body sensation, sensitivity to light","Eye pain, redness, foreign body sensation, sensitivity to light","Eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation",
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","Heartburn, chest pain, difficulty swallowing","Lifestyle changes, medications (antacids, proton pump inhibitors)",
Type 2 Diabetes,"increased thirst, frequent urination, fatigue","increased thirst, frequent urination, fatigue","insulin, medication, lifestyle change",
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)","Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)","Watchful waiting (for small or asymptomatic fibroids), medication (such as hormonal birth control, GnRH agonists, progestin-releasing intrauterine devices), minimally invasive procedures (such as uterine artery embolization, myomectomy), hysteroscopic procedures (such as hysteroscopic myomectomy or endometrial ablation), surgical removal of fibroids (such as laparoscopic or robotic-assisted myomectomy, hysterectomy), focused ultrasound ablation, hormonal therapy, alternative approaches (such as acupuncture or herbal remedies)",
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Chronic Headache,"Persistent head pain, tension in neck and shoulders","Persistent head pain, tension in neck and shoulders","Pain-relieving medications, relaxation techniques, stress management",
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Decreased urine output, fluid retention, fatigue","Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)",
Scarlet Fever,"Sore throat, fever, rash (red, sandpaper-like), swollen glands","Sore throat, fever, rash (red, sandpaper-like), swollen glands","Antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief",
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","Regular monitoring and imaging tests to assess aneurysm size and growth, lifestyle modifications (e.g., blood pressure control, avoiding smoking, managing cholesterol levels), medication (e.g., beta-blockers, ACE inhibitors) to manage blood pressure and reduce the risk of rupture, surgical intervention",
Scleroderma,"Thickening of the skin, Raynaud's phenomenon","Thickening of the skin, Raynaud's phenomenon","Medications (immunosuppressants), therapy, symptom management",
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Nonsteroidal anti-inflammatory drugs (NSAIDs), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)",
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",
Pica,Persistent consumption of non-food substances,Persistent consumption of non-food substances,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support",
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress","Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress","Medical Abortion: Medication (such as mifepristone and misoprostol) is used to induce abortion, which can be done in the early stages of pregnancy. Surgical Abortion: A healthcare professional performs a procedure to remove the pregnancy, which can involve suction aspiration or dilation and curettage (D&C). It's important to consult with a healthcare professional to discuss the options and determine the most suitable method.",
Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head","Mild to moderate head pain, tightness or pressure sensation on both sides of head","Over-the-counter pain relievers, relaxation techniques, stress management",
Tuberculosis,"cough, weight loss, fever, night sweats","cough, weight loss, fever, night sweats","antibiotics, long-term medication",
Urethral Valves,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","Surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications",
Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Thyroid hormone replacement (levothyroxine), monitoring and management of symptoms",
Parkinson Disease,"Tremors, stiffness, slowness of movement","Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation",
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon",
Mucocele,Painless fluid-filled swelling in the oral cavity,Painless fluid-filled swelling in the oral cavity,"Observation, Surgical removal if necessary",
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Fever, chest pain, productive cough with foul-smelling or bloody sputum","Antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause",
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","Visible bulge or swelling, discomfort or pain","Watchful waiting, hernia truss, surgical repair, lifestyle changes",
Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion","Joint swelling, pain, warmth, limited range of motion","RICE method (Rest, Ice, Compression, Elevation), pain management, joint aspiration or drainage (in severe cases)",
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area","Lower back pain, discomfort in the pelvic area","Prenatal exercises (such as stretching and strengthening exercises), good posture, heat or cold therapy, prenatal massages, supportive devices (such as pregnancy belts), physical therapy",
Muscle Spasm,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","Stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications",
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","Abdominal pain, bloating, changes in bowel movements","High-fiber diet, medications (pain relievers, antibiotics)",
Dry Skin,"Dry, flaky skin with itching","Dry, flaky skin with itching","Moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps",
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol","Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol","Detoxification (if necessary), counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups (such as Alcoholics Anonymous), medication (such as disulfiram, naltrexone, acamprosate), addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",
Muscular Dystrophy,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting","Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting","Supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)",
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Over-the-counter antifungal creams, ointments, or suppositories (such as miconazole, clotrimazole, or terconazole), prescription-strength antifungal medications (in severe or recurrent cases), oral antifungal medications (if recommended by a healthcare professional), topical corticosteroids (for relief of itching and inflammation), maintaining good hygiene practices, avoiding irritants (such as scented products), wearing breathable cotton underwear, avoiding tight-fitting clothing, probiotics (to restore healthy vaginal flora)",
Osteoporosis,"Fragile bones, loss of height over time, back pain, fractures","Fragile bones, loss of height over time, back pain, fractures","Calcium and vitamin D supplements, regular exercise, medications to slow bone loss",
Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","Excessively concentrated urine, low blood sodium levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance",
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking","Muscle weakness, fatigue, difficulty speaking","Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)",
Torticollis,"Neck pain, stiffness, and abnormal head positioning","Neck pain, stiffness, and abnormal head positioning","Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)",
Complex Regional Pain Syndrome (CRPS),"Intense burning pain, swelling, changes in skin temperature","Intense burning pain, swelling, changes in skin temperature","Physical therapy, medications, nerve blocks",
Gastroenteritis (Stomach Flu),"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief",
Scleritis,"Eye redness, severe eye pain, blurred vision","Eye redness, severe eye pain, blurred vision","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants",
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss","Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss","Treatment aims to manage symptoms, slow down disease progression, and address underlying causes. It may include: lifestyle modifications (e.g., avoiding alcohol, maintaining a healthy diet), medication (e.g., diuretics, lactulose, antiviral drugs), procedures (e.g., paracentesis, transjugular intrahepatic portosystemic shunt), liver transplantation (in severe cases)",
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases",
